model,r2,coef_distance,coef_intensity,coef_interaction,intercept
Model 1: distance + intensity,0.53606492660831,0.30878576793702,0.11560356221194978,,-1.8372103965441138
Model 2: distance + intensity + interaction,0.5977981422218741,-0.028063976584187824,-0.007626748179998484,0.011228324817373599,1.859698915214333
