model,r2,coef_distance,coef_intensity,coef_interaction,intercept
Model 1: distance + intensity,0.5319410862533527,-0.300964830392682,0.11560356221194973,,5.109531652452217
Model 2: distance + intensity + interaction,0.5371935809568655,-0.20434008102489953,0.15367830660862933,-0.00322082497892609,3.967289320551831
