condition,roi_channels,theta_power,alpha_power,theta_alpha_ratio,theta_plv,alpha_plv,power_windows,theta_plv_windows,alpha_plv_windows
Pre,"F3,FC5,FC1,CP5",7.138555544080935e-12,1.3141657183100538e-11,0.8401411860327224,0.6914189626388151,0.6572769472589219,35,177,177
Post,"F3,FC5,FC1,CP5",3.1889447383787625e-11,2.5693434014083663e-11,1.0928822768708857,0.7405203893610993,0.6861019925117235,32,160,160
