condition,epoch_index,band,power_type,roi,value
Pre,7,low_gamma,relative,right_motor,0.012254167841888505
Pre,8,alpha,absolute,left_motor,2.7790989241406504e-11
Pre,8,alpha,relative,left_motor,0.5895788802581352
Pre,8,beta,absolute,left_motor,2.7659235260811287e-12
Pre,8,beta,relative,left_motor,0.05867837525397903
Pre,8,low_gamma,absolute,left_motor,4.118467673189564e-13
Pre,8,low_gamma,relative,left_motor,0.00873722607729505
Pre,8,alpha,absolute,right_motor,3.232549432779459e-11
Pre,8,alpha,relative,right_motor,0.5606356818122333
Pre,8,beta,absolute,right_motor,3.6042528510545177e-12
Pre,8,beta,relative,right_motor,0.06251018883374633
Pre,8,low_gamma,absolute,right_motor,3.8511948964218244e-13
Pre,8,low_gamma,relative,right_motor,0.006679301651671135
Pre,9,alpha,absolute,left_motor,2.971622995086088e-11
Pre,9,alpha,relative,left_motor,0.6307295238227967
Pre,9,beta,absolute,left_motor,3.0745860110338473e-12
Pre,9,beta,relative,left_motor,0.06525835120734859
Pre,9,low_gamma,absolute,left_motor,4.59726058677077e-13
Pre,9,low_gamma,relative,left_motor,0.009757724938789673
Pre,9,alpha,absolute,right_motor,2.8101955270589635e-11
Pre,9,alpha,relative,right_motor,0.6075189720306082
Pre,9,beta,absolute,right_motor,2.804017347545052e-12
Pre,9,beta,relative,right_motor,0.060618334921320224
Pre,9,low_gamma,absolute,right_motor,3.4473668100718423e-13
Pre,9,low_gamma,relative,right_motor,0.007452651320882054
Pre,10,alpha,absolute,left_motor,2.6656862277636477e-11
Pre,10,alpha,relative,left_motor,0.5745456374592668
Pre,10,beta,absolute,left_motor,4.441299700119818e-12
Pre,10,beta,relative,left_motor,0.09572504598539118
Pre,10,low_gamma,absolute,left_motor,4.876940982301241e-13
Pre,10,low_gamma,relative,left_motor,0.010511459062000036
Pre,10,alpha,absolute,right_motor,2.5155832815143236e-11
Pre,10,alpha,relative,right_motor,0.5417319825117636
Pre,10,beta,absolute,right_motor,4.90390588474403e-12
Pre,10,beta,relative,right_motor,0.1056058321151774
Pre,10,low_gamma,absolute,right_motor,4.723064798886325e-13
Pre,10,low_gamma,relative,right_motor,0.010171141125933914
Pre,11,alpha,absolute,left_motor,1.713536663411215e-11
Pre,11,alpha,relative,left_motor,0.42484682704764204
Pre,11,beta,absolute,left_motor,5.452855484933833e-12
Pre,11,beta,relative,left_motor,0.1351957270941407
Pre,11,low_gamma,absolute,left_motor,4.865297518388198e-13
Pre,11,low_gamma,relative,left_motor,0.01206280704385461
Pre,11,alpha,absolute,right_motor,2.356718543941143e-11
Pre,11,alpha,relative,right_motor,0.43372364420384857
Pre,11,beta,absolute,right_motor,4.037596031868136e-12
Pre,11,beta,relative,right_motor,0.07430674610114074
Pre,11,low_gamma,absolute,right_motor,3.9810066219501625e-13
