condition,epoch_index,band,summary_type,value
Pre,29,theta,within_right,0.3314226454598108
Pre,29,theta,interhemispheric,0.40717994392701434
Pre,29,theta,anterior_posterior,0.3493534802685646
Pre,30,theta,within_left,0.36869885255089613
Pre,30,theta,within_right,0.2398636829121687
Pre,30,theta,interhemispheric,0.23319897778581022
Pre,30,theta,anterior_posterior,0.31050364949327974
Pre,31,theta,within_left,0.23679273323387845
Pre,31,theta,within_right,0.2164452421665506
Pre,31,theta,interhemispheric,0.1606432562682897
Pre,31,theta,anterior_posterior,0.25024795396988647
Pre,32,theta,within_left,0.30160094837736445
Pre,32,theta,within_right,0.2529402699241362
Pre,32,theta,interhemispheric,0.3072846682432586
Pre,32,theta,anterior_posterior,0.29096735165539506
Pre,33,theta,within_left,0.18534996048536048
Pre,33,theta,within_right,0.23441824339419343
Pre,33,theta,interhemispheric,0.08585930557844891
Pre,33,theta,anterior_posterior,0.20558945320538946
Pre,34,theta,within_left,0.24650301343049205
Pre,34,theta,within_right,0.26238595733546244
Pre,34,theta,interhemispheric,0.18297707675014407
Pre,34,theta,anterior_posterior,0.24973111244822455
Pre,35,theta,within_left,0.19714736421394566
Pre,35,theta,within_right,0.3399010450912544
Pre,35,theta,interhemispheric,0.2440400532944301
Pre,35,theta,anterior_posterior,0.276253055526871
Pre,36,theta,within_left,0.18301074302590056
Pre,36,theta,within_right,0.3418901607629789
Pre,36,theta,interhemispheric,0.29142406288147593
Pre,36,theta,anterior_posterior,0.3193006874219587
Pre,37,theta,within_left,0.27109097862599635
Pre,37,theta,within_right,0.3168334260432787
Pre,37,theta,interhemispheric,0.30237148326204005
Pre,37,theta,anterior_posterior,0.2688562285852999
Pre,38,theta,within_left,0.2692740958081161
Pre,38,theta,within_right,0.37047442169938993
Pre,38,theta,interhemispheric,0.2619264788688838
Pre,38,theta,anterior_posterior,0.3047529001133171
Pre,39,theta,within_left,0.1561159115855272
Pre,39,theta,within_right,0.2441578884539773
Pre,39,theta,interhemispheric,0.26300760801639583
Pre,39,theta,anterior_posterior,0.19546016487795537
Pre,40,theta,within_left,0.16604959392127133
Pre,40,theta,within_right,0.3833391650823856
Pre,40,theta,interhemispheric,0.22348587746419135
Pre,40,theta,anterior_posterior,0.29550396721608935
Pre,41,theta,within_left,0.33507621072944355
Pre,41,theta,within_right,0.20306969231121683
Pre,41,theta,interhemispheric,0.22726854042110556
Pre,41,theta,anterior_posterior,0.24843811300735055
Pre,42,theta,within_left,0.27866782326727624
Pre,42,theta,within_right,0.35977638803647305
Pre,42,theta,interhemispheric,0.3138252974493878
Pre,42,theta,anterior_posterior,0.3137947993224357
Pre,43,theta,within_left,0.5080873946281571
Pre,43,theta,within_right,0.5129055577659303
Pre,43,theta,interhemispheric,0.38275117843649903
Pre,43,theta,anterior_posterior,0.4985176391002228
Pre,44,theta,within_left,0.22312185210719157
Pre,44,theta,within_right,0.22580102865788565
Pre,44,theta,interhemispheric,0.2849385323946606
Pre,44,theta,anterior_posterior,0.2285677590432461
Pre,45,theta,within_left,0.39235447579505944
Pre,45,theta,within_right,0.1329337405103988
Pre,45,theta,interhemispheric,0.33649518097685527
Pre,45,theta,anterior_posterior,0.21287091201918648
Pre,46,theta,within_left,0.3422458035984498
Pre,46,theta,within_right,0.4051333452553016
Pre,46,theta,interhemispheric,0.4389215665901723
Pre,46,theta,anterior_posterior,0.3469150106127456
Pre,47,theta,within_left,0.35532579023051214
Pre,47,theta,within_right,0.5111442191331655
Pre,47,theta,interhemispheric,0.47362142726583706
Pre,47,theta,anterior_posterior,0.43613598122196884
Pre,48,theta,within_left,0.2704454014492138
Pre,48,theta,within_right,0.3577157191622755
Pre,48,theta,interhemispheric,0.34529052773276336
Pre,48,theta,anterior_posterior,0.3087775918396679
Pre,49,theta,within_left,0.14235044868296878
Pre,49,theta,within_right,0.185921571286544
Pre,49,theta,interhemispheric,0.15882065660494818
Pre,49,theta,anterior_posterior,0.15123744387285054
Pre,50,theta,within_left,0.15115214535138374
Pre,50,theta,within_right,0.21333482604348208
Pre,50,theta,interhemispheric,0.12789530256275178
Pre,50,theta,anterior_posterior,0.1826103491053278
Pre,51,theta,within_left,0.23150340793587368
Pre,51,theta,within_right,0.2901023581539823
Pre,51,theta,interhemispheric,0.18481072401868479
Pre,51,theta,anterior_posterior,0.24203622445549822
Pre,52,theta,within_left,0.28553268573414436
Pre,52,theta,within_right,0.41114495088613895
Pre,52,theta,interhemispheric,0.28432469874024774
Pre,52,theta,anterior_posterior,0.3430276644534369
Pre,53,theta,within_left,0.45903514462651673
Pre,53,theta,within_right,0.3950891082962326
Pre,53,theta,interhemispheric,0.41524287057828696
Pre,53,theta,anterior_posterior,0.38426397866439943
Pre,54,theta,within_left,0.2884061178826309
Pre,54,theta,within_right,0.15181120807929135
Pre,54,theta,interhemispheric,0.17080654968652334
Pre,54,theta,anterior_posterior,0.24272484821512372
Pre,55,theta,within_left,0.5975432025713318
Pre,55,theta,within_right,0.48411732147248415
Pre,55,theta,interhemispheric,0.6359535538628927
Pre,55,theta,anterior_posterior,0.5191988737450965
Pre,56,theta,within_left,0.26189991579929767
Pre,56,theta,within_right,0.2905994839700873
Pre,56,theta,interhemispheric,0.2756054347822235
Pre,56,theta,anterior_posterior,0.2644715228944248
Pre,57,theta,within_left,0.25976658294009336
Pre,57,theta,within_right,0.22420590568615706
Pre,57,theta,interhemispheric,0.3731305746096379
Pre,57,theta,anterior_posterior,0.25212768856977413
Pre,58,theta,within_left,0.3200366513712458
Pre,58,theta,within_right,0.16618304081280313
Pre,58,theta,interhemispheric,0.2676627756151126
Pre,58,theta,anterior_posterior,0.23977605154858259
Pre,59,theta,within_left,0.24562485608000414
Pre,59,theta,within_right,0.2642045213022772
Pre,59,theta,interhemispheric,0.3081711518449875
