pre_mean,post_mean,difference,p_value,ci_low,ci_high,effect_size_d,n_pre,n_post,metric,q_value
7.138555544080935e-12,3.1889447383787625e-11,2.475089183970669e-11,0.0003999200159968006,7.1732353130576255e-12,4.667696261517374e-11,0.5887410257239742,35,32,theta_power,0.0014997000599880023
1.3141657183100538e-11,2.5693434014083663e-11,1.2551776830983125e-11,0.008398320335932814,3.332252450712617e-12,2.2632115207111e-11,0.6209614088285952,35,32,alpha_power,0.013997200559888021
0.8401411860327224,1.0928822768708857,0.2527410908381633,0.06898620275944811,-0.017860456537443798,0.5270187871366705,0.43873609681274334,35,32,theta_alpha_ratio,0.06898620275944811
0.6914189626388151,0.7405203893610993,0.049101426722284236,0.0005998800239952009,0.025163244164406094,0.07427429903072608,0.4199294423160508,177,160,theta_plv,0.0014997000599880023
0.6572769472589219,0.6861019925117235,0.028825045252801607,0.03679264147170566,0.000754574027327043,0.05540503392942362,0.2287003320974459,177,160,alpha_plv,0.04599080183963208
