epoch_index,band,window,window_start_s,window_stop_s,pre_baseline_power,post_window_power,post_logratio_db
37,theta,late,1.3,2.3,1.7431274557111465e-07,2.0588593052650594e-09,-12.909248352050781
38,theta,late,1.3,2.3,1.726903491316989e-07,4.374514972482757e-09,-8.30709171295166
39,theta,late,1.3,2.3,1.7056744638921373e-07,3.1511671050310497e-09,-10.664429664611816
40,theta,late,1.3,2.3,1.7470426882937318e-07,5.842696992885976e-09,-9.488192558288574
41,theta,late,1.3,2.3,1.733426557848361e-07,2.524526143687922e-09,-13.653617858886719
42,theta,late,1.3,2.3,1.6798759361336124e-07,3.8294358795099015e-09,-10.942479133605957
43,theta,late,1.3,2.3,1.652660586159982e-07,2.1029429309038505e-09,-12.683192253112793
44,theta,late,1.3,2.3,1.6875121389148262e-07,3.964271133582997e-09,-9.106453895568848
45,theta,late,1.3,2.3,1.7112844830080576e-07,2.768473894576573e-09,-12.37260913848877
46,theta,late,1.3,2.3,1.7894294046527648e-07,1.7755246162209914e-09,-14.701004981994629
47,theta,late,1.3,2.3,1.6772204958215298e-07,1.220120227074517e-09,-15.41178035736084
48,theta,late,1.3,2.3,1.390337729390012e-07,1.1235606889314909e-09,-13.99141788482666
49,theta,late,1.3,2.3,1.3428726219899545e-07,4.191766933558938e-09,-7.697885513305664
50,theta,late,1.3,2.3,1.4403063630652468e-07,7.02978875111171e-09,-6.797601699829102
51,theta,late,1.3,2.3,1.3917068031332747e-07,2.440948332349535e-09,-13.329943656921387
52,theta,late,1.3,2.3,1.40011934490758e-07,2.2808668287410683e-09,-12.209702491760254
53,theta,late,1.3,2.3,1.387412567055435e-07,2.9977740290121346e-09,-9.580466270446777
54,theta,late,1.3,2.3,1.4055736130558216e-07,2.5218911403612765e-09,-10.882780075073242
55,theta,late,1.3,2.3,1.3820613276038785e-07,1.5313011969553258e-09,-14.115957260131836
56,theta,late,1.3,2.3,1.394127338016915e-07,3.2180051956487432e-09,-10.01082992553711
57,theta,late,1.3,2.3,1.423721158744229e-07,1.91020355089222e-09,-11.870658874511719
58,theta,late,1.3,2.3,1.3824215727709088e-07,1.570697572006452e-09,-12.548473358154297
59,theta,late,1.3,2.3,1.40049806418574e-07,1.663072901614271e-09,-11.323987007141113
60,theta,late,1.3,2.3,1.3625354711166437e-07,1.3500416340406218e-09,-12.938132286071777
61,theta,late,1.3,2.3,1.393387947246083e-07,2.6040072320654417e-09,-10.843900680541992
62,theta,late,1.3,2.3,1.4359602573676966e-07,3.5112732721387374e-09,-11.201708793640137
63,theta,late,1.3,2.3,1.440650549966449e-07,4.3589580833724995e-09,-10.357470512390137
64,theta,late,1.3,2.3,1.4213770782589563e-07,2.613277372276457e-09,-11.389934539794922
65,theta,late,1.3,2.3,1.3918980812377413e-07,2.2521366993544234e-09,-13.115483283996582
66,theta,late,1.3,2.3,1.476379622999957e-07,1.189932041789632e-09,-15.410531997680664
67,theta,late,1.3,2.3,1.4024222139141784e-07,1.8479154872963477e-09,-12.116379737854004
68,theta,late,1.3,2.3,1.4220145772014803e-07,3.048866936694594e-09,-9.469734191894531
69,theta,late,1.3,2.3,1.4316678687009698e-07,1.268017357780593e-09,-13.839613914489746
70,theta,late,1.3,2.3,1.4622581545609137e-07,3.2644364988954067e-09,-10.232495307922363
71,theta,late,1.3,2.3,1.5151069021612784e-07,3.5323677316512203e-09,-11.522590637207031
72,theta,late,1.3,2.3,1.504946993691192e-07,1.7407572050487374e-09,-12.817617416381836
73,theta,late,1.3,2.3,1.4657977942533762e-07,1.898403878541899e-09,-12.194729804992676
74,theta,late,1.3,2.3,1.4618137811339693e-07,2.4006994170377993e-09,-11.466306686401367
0,alpha,early,0.3,1.3,2.9769207099406003e-09,1.4018251004443982e-09,-5.088656902313232
1,alpha,early,0.3,1.3,3.0609941248371797e-09,1.4776828649587515e-09,-5.469630718231201
2,alpha,early,0.3,1.3,4.345497295332734e-09,2.1629200652739655e-09,-5.817861557006836
3,alpha,early,0.3,1.3,3.3913400976359753e-09,3.2955271844770095e-09,-2.6536574363708496
4,alpha,early,0.3,1.3,4.538842635071205e-09,1.2559916440224583e-09,-8.214115142822266
5,alpha,early,0.3,1.3,2.9301017168137378e-09,1.8175655425167747e-09,-4.390697956085205
6,alpha,early,0.3,1.3,8.293980613416352e-09,2.494771500494153e-09,-8.541513442993164
7,alpha,early,0.3,1.3,2.979998470209466e-09,3.3307485658440328e-09,-1.583135962486267
8,alpha,early,0.3,1.3,6.053837431352349e-09,7.266861778987277e-09,-0.8265259861946106
9,alpha,early,0.3,1.3,6.418450659850805e-09,3.889049082772544e-09,-5.2310471534729
10,alpha,early,0.3,1.3,8.589539746139963e-09,2.8984636912809947e-09,-6.933436393737793
11,alpha,early,0.3,1.3,3.5607414794469605e-09,5.790977475328418e-09,-0.665665864944458
12,alpha,early,0.3,1.3,5.9377351924183586e-09,7.407825464156303e-10,-11.248205184936523
13,alpha,early,0.3,1.3,2.775078833394673e-09,5.719779760937627e-09,0.7366901636123657
14,alpha,early,0.3,1.3,1.557426010379004e-08,5.142322123674603e-09,-7.241183280944824
15,alpha,early,0.3,1.3,5.931062752040361e-09,5.817531345542193e-09,-1.7104370594024658
16,alpha,early,0.3,1.3,7.163297510714983e-09,7.595560291839831e-10,-11.149030685424805
17,alpha,early,0.3,1.3,2.413832911329905e-09,1.157329787560002e-09,-4.215427875518799
18,alpha,early,0.3,1.3,2.4222670536033775e-09,1.715777386834816e-08,6.477405548095703
19,alpha,early,0.3,1.3,6.2582619086981595e-09,2.0376413889522382e-09,-6.833722114562988
20,alpha,early,0.3,1.3,2.860382819491747e-09,1.9508197279805017e-09,-4.733517169952393
21,alpha,early,0.3,1.3,1.2538987625987374e-08,9.765009911788525e-10,-12.34408187866211
22,alpha,early,0.3,1.3,4.664416852762088e-09,5.226098220845188e-09,-3.3319780826568604
23,alpha,early,0.3,1.3,6.162511390073178e-09,6.070655533818581e-09,-1.8767549991607666
24,alpha,early,0.3,1.3,2.065734960865484e-08,5.4854636388768085e-09,-8.068045616149902
25,alpha,early,0.3,1.3,1.3118553354729556e-08,7.921392430887408e-09,-5.952334403991699
26,alpha,early,0.3,1.3,1.2829660001045795e-08,1.8627886788635806e-08,-3.8778936862945557
27,alpha,early,0.3,1.3,6.804889096656552e-09,5.403836045303478e-09,-2.9037439823150635
28,alpha,early,0.3,1.3,1.1511301245548111e-08,8.221497260763044e-09,-3.705528974533081
29,alpha,early,0.3,1.3,9.968997183307238e-09,3.730966202653008e-09,-6.011635780334473
30,alpha,early,0.3,1.3,1.0406614237012946e-08,1.0134766803560069e-08,-1.595517873764038
31,alpha,early,0.3,1.3,1.4336841047679627e-08,7.642712240851779e-09,-6.568442344665527
32,alpha,early,0.3,1.3,4.834560307642732e-09,1.7261966300807785e-09,-6.659953594207764
33,alpha,early,0.3,1.3,8.633405990110532e-09,3.9555565933824255e-08,0.5182434916496277
34,alpha,early,0.3,1.3,8.474348334175374e-09,1.87692728026434e-09,-8.36397647857666
35,alpha,early,0.3,1.3,4.16708934025678e-09,2.7597530927181424e-09,-5.03096866607666
36,alpha,early,0.3,1.3,4.325435565277758e-09,1.8042966010156647e-09,-6.462215423583984
37,alpha,early,0.3,1.3,7.222328068934303e-09,1.2652363601262095e-08,-1.6974979639053345
38,alpha,early,0.3,1.3,5.349478193750201e-09,1.2343645217072208e-08,-0.48740947246551514
39,alpha,early,0.3,1.3,1.0075344114568452e-08,2.6241011585881324e-09,-8.629812240600586
40,alpha,early,0.3,1.3,8.235050863447668e-09,7.919064515249374e-09,-1.9185855388641357
41,alpha,early,0.3,1.3,9.582704407762321e-09,3.914578439179195e-09,-6.519158840179443
42,alpha,early,0.3,1.3,6.47684261778636e-09,4.448152068903255e-09,-3.238612174987793
43,alpha,early,0.3,1.3,8.806711804254519e-09,8.664118311685343e-10,-10.654691696166992
44,alpha,early,0.3,1.3,3.5854998969853114e-09,1.6296130667114994e-08,4.265661239624023
45,alpha,early,0.3,1.3,1.041649166921843e-08,2.595292203366739e-09,-8.015857696533203
46,alpha,early,0.3,1.3,5.4276014793686045e-09,3.7327230195671746e-09,-4.068037986755371
47,alpha,early,0.3,1.3,8.622881075837086e-09,5.099763722427042e-09,-4.454797744750977
48,alpha,early,0.3,1.3,4.347338045107563e-09,2.763361317548174e-09,-6.015065670013428
49,alpha,early,0.3,1.3,3.6276441850446872e-09,2.3060273690589383e-09,-5.3776960372924805
50,alpha,early,0.3,1.3,2.943272736644076e-09,4.461954805634605e-09,-1.1706569194793701
51,alpha,early,0.3,1.3,4.906063555409901e-09,6.088525683622947e-09,-1.302773356437683
52,alpha,early,0.3,1.3,7.677431135277857e-09,1.0242824366457626e-08,-1.169726848602295
53,alpha,early,0.3,1.3,5.0481552271719465e-09,1.7376059480156414e-09,-6.150635719299316
54,alpha,early,0.3,1.3,3.82404996557284e-09,3.95493193749985e-09,-2.3073534965515137
55,alpha,early,0.3,1.3,6.957808551533162e-09,5.210447184822442e-09,-3.4701590538024902
56,alpha,early,0.3,1.3,7.1269163903764365e-09,7.225325893145396e-10,-11.5643949508667
57,alpha,early,0.3,1.3,3.405554505064856e-09,1.0444404230369742e-09,-7.1714558601379395
58,alpha,early,0.3,1.3,4.826119504031112e-09,3.0783180449134306e-09,-4.819714546203613
59,alpha,early,0.3,1.3,5.442436723512856e-09,6.038364919191963e-09,-2.099186658859253
60,alpha,early,0.3,1.3,3.596871689381942e-09,2.0203323458645173e-09,-6.395709991455078
61,alpha,early,0.3,1.3,3.0402025341658145e-09,5.730557361971478e-09,1.3258594274520874
62,alpha,early,0.3,1.3,5.288452786800235e-09,4.963974564731188e-09,-4.004089832305908
63,alpha,early,0.3,1.3,8.325179656765158e-09,2.9794049449805016e-09,-8.040186882019043
64,alpha,early,0.3,1.3,9.914176146708087e-09,1.399804161472673e-09,-10.091266632080078
65,alpha,early,0.3,1.3,2.839915635988177e-09,2.937490473087223e-09,-2.657223701477051
66,alpha,early,0.3,1.3,6.165063570762186e-09,5.862146768009779e-09,-2.9924871921539307
67,alpha,early,0.3,1.3,5.3750168760302586e-09,3.1187865623394373e-09,-5.530738353729248
68,alpha,early,0.3,1.3,2.9174131999099018e-09,2.524442876961075e-09,-3.6929566860198975
69,alpha,early,0.3,1.3,4.332682213004091e-09,1.331716514840764e-09,-7.68589448928833
70,alpha,early,0.3,1.3,4.47020331861836e-09,5.873175279447196e-09,-1.9067522287368774
71,alpha,early,0.3,1.3,1.1737873784056774e-08,3.1923901300245916e-09,-7.217190265655518
72,alpha,early,0.3,1.3,4.9890225284343614e-09,1.2759088230396287e-09,-8.566960334777832
73,alpha,early,0.3,1.3,3.4612721577786942e-09,8.367189163749345e-10,-7.898624420166016
74,alpha,early,0.3,1.3,2.8494810955237426e-09,2.5105286738380528e-09,-4.1068243980407715
0,alpha,late,1.3,2.3,2.9769207099406003e-09,9.290239133541434e-10,-7.5699262619018555
1,alpha,late,1.3,2.3,3.0609941248371797e-09,2.1736275002126604e-09,-3.747032642364502
2,alpha,late,1.3,2.3,4.345497295332734e-09,1.224169210445325e-09,-6.902339458465576
3,alpha,late,1.3,2.3,3.3913400976359753e-09,3.0325635336225787e-09,-3.2940561771392822
4,alpha,late,1.3,2.3,4.538842635071205e-09,9.455578542372223e-10,-9.418511390686035
5,alpha,late,1.3,2.3,2.9301017168137378e-09,3.3929632436979773e-09,-1.2366923093795776
6,alpha,late,1.3,2.3,8.293980613416352e-09,1.3981965585330158e-09,-11.426040649414062
7,alpha,late,1.3,2.3,2.979998470209466e-09,2.7282207604173436e-09,-3.0399627685546875
8,alpha,late,1.3,2.3,6.053837431352349e-09,3.01838709582114e-09,-5.247621536254883
9,alpha,late,1.3,2.3,6.418450659850805e-09,8.383724825478112e-09,-1.1563390493392944
10,alpha,late,1.3,2.3,8.589539746139963e-09,1.4738767983857315e-09,-10.928326606750488
11,alpha,late,1.3,2.3,3.5607414794469605e-09,3.738552578624876e-09,-1.4294276237487793
12,alpha,late,1.3,2.3,5.9377351924183586e-09,8.710320242855119e-10,-12.60972785949707
13,alpha,late,1.3,2.3,2.775078833394673e-09,1.737415900038286e-08,6.311801910400391
14,alpha,late,1.3,2.3,1.557426010379004e-08,3.489407429668745e-09,-7.83335018157959
15,alpha,late,1.3,2.3,5.931062752040361e-09,6.310479250259959e-09,-3.114363670349121
16,alpha,late,1.3,2.3,7.163297510714983e-09,7.225241516195524e-10,-11.651752471923828
17,alpha,late,1.3,2.3,2.413832911329905e-09,4.819567522851287e-10,-7.619149208068848
18,alpha,late,1.3,2.3,2.4222670536033775e-09,4.032580935842134e-09,1.4045307636260986
19,alpha,late,1.3,2.3,6.2582619086981595e-09,9.856416793851963e-10,-10.964129447937012
20,alpha,late,1.3,2.3,2.860382819491747e-09,1.4695789474217236e-08,4.72747802734375
21,alpha,late,1.3,2.3,1.2538987625987374e-08,2.4710575807773694e-09,-7.682543754577637
22,alpha,late,1.3,2.3,4.664416852762088e-09,4.783515361594937e-09,-1.798662781715393
23,alpha,late,1.3,2.3,6.162511390073178e-09,1.2972046548043181e-08,0.28709688782691956
24,alpha,late,1.3,2.3,2.065734960865484e-08,1.1016594747559338e-08,-5.641512870788574
25,alpha,late,1.3,2.3,1.3118553354729556e-08,1.1525364662645643e-08,-1.9831163883209229
26,alpha,late,1.3,2.3,1.2829660001045795e-08,4.63781324455681e-09,-7.082387447357178
27,alpha,late,1.3,2.3,6.804889096656552e-09,8.309729793154474e-09,-1.7954514026641846
28,alpha,late,1.3,2.3,1.1511301245548111e-08,6.905876759333296e-09,-3.896188497543335
29,alpha,late,1.3,2.3,9.968997183307238e-09,1.1004845035245125e-08,-2.2670812606811523
30,alpha,late,1.3,2.3,1.0406614237012946e-08,1.636799851212345e-08,-1.5549430847167969
31,alpha,late,1.3,2.3,1.4336841047679627e-08,2.742821747503399e-09,-9.784078598022461
32,alpha,late,1.3,2.3,4.834560307642732e-09,2.6891602278311666e-09,-7.060604572296143
33,alpha,late,1.3,2.3,8.633405990110532e-09,7.426669057508661e-09,-4.476391792297363
34,alpha,late,1.3,2.3,8.474348334175374e-09,2.5725563901346504e-09,-7.841641426086426
35,alpha,late,1.3,2.3,4.16708934025678e-09,2.742899019025913e-09,-3.5034656524658203
36,alpha,late,1.3,2.3,4.325435565277758e-09,6.920486850248153e-09,-1.2576504945755005
37,alpha,late,1.3,2.3,7.222328068934303e-09,3.955059391103077e-09,-6.370257377624512
38,alpha,late,1.3,2.3,5.349478193750201e-09,7.84505971296312e-09,-1.187192678451538
39,alpha,late,1.3,2.3,1.0075344114568452e-08,7.1384200772683926e-09,-4.434589862823486
40,alpha,late,1.3,2.3,8.235050863447668e-09,9.099088593700344e-09,-1.507051706314087
41,alpha,late,1.3,2.3,9.582704407762321e-09,4.584891133418978e-09,-6.361780643463135
42,alpha,late,1.3,2.3,6.47684261778636e-09,9.966598213395628e-09,-2.561049222946167
43,alpha,late,1.3,2.3,8.806711804254519e-09,1.1242070607764276e-09,-11.332727432250977
44,alpha,late,1.3,2.3,3.5854998969853114e-09,1.0621254986631357e-08,0.014169919304549694
45,alpha,late,1.3,2.3,1.041649166921843e-08,3.7321044032978534e-09,-8.164119720458984
46,alpha,late,1.3,2.3,5.4276014793686045e-09,5.2246096338137704e-09,-1.5108006000518799
47,alpha,late,1.3,2.3,8.622881075837086e-09,2.755042194380053e-09,-7.504645347595215
48,alpha,late,1.3,2.3,4.347338045107563e-09,2.2448440883948706e-09,-6.86353874206543
49,alpha,late,1.3,2.3,3.6276441850446872e-09,1.681547345810941e-09,-5.049564361572266
50,alpha,late,1.3,2.3,2.943272736644076e-09,4.469737913126437e-09,-2.118992328643799
51,alpha,late,1.3,2.3,4.906063555409901e-09,4.986604906775938e-09,-1.7764874696731567
52,alpha,late,1.3,2.3,7.677431135277857e-09,3.5047562629841877e-09,-6.553952693939209
53,alpha,late,1.3,2.3,5.0481552271719465e-09,2.854506631067011e-09,-4.140832424163818
54,alpha,late,1.3,2.3,3.82404996557284e-09,3.645084456493919e-09,-2.892598867416382
55,alpha,late,1.3,2.3,6.957808551533162e-09,2.8668316609525846e-09,-6.515954494476318
56,alpha,late,1.3,2.3,7.1269163903764365e-09,1.7997628942723054e-09,-8.177712440490723
57,alpha,late,1.3,2.3,3.405554505064856e-09,2.53765253255267e-09,-3.5992743968963623
58,alpha,late,1.3,2.3,4.826119504031112e-09,4.835052358487246e-09,-1.2088748216629028
59,alpha,late,1.3,2.3,5.442436723512856e-09,2.1889583479151042e-09,-6.691351890563965
60,alpha,late,1.3,2.3,3.596871689381942e-09,1.2348271294371216e-09,-7.60491943359375
61,alpha,late,1.3,2.3,3.0402025341658145e-09,3.74331099450842e-09,-0.002451125532388687
62,alpha,late,1.3,2.3,5.288452786800235e-09,4.256055952112092e-09,-2.5831706523895264
63,alpha,late,1.3,2.3,8.325179656765158e-09,9.070268092159495e-09,-2.1518313884735107
64,alpha,late,1.3,2.3,9.914176146708087e-09,1.0897396318654273e-09,-12.46854305267334
65,alpha,late,1.3,2.3,2.839915635988177e-09,4.38380665102045e-09,0.6638144850730896
66,alpha,late,1.3,2.3,6.165063570762186e-09,3.981229124150332e-09,-5.085838317871094
