band,window,window_start_s,window_stop_s,mean_post_logratio_db,std_post_logratio_db,n_epochs
theta,early,0.3,1.3,-10.784930229187012,2.817619800567627,75
theta,late,1.3,2.3,-11.236230850219727,2.497591972351074,75
alpha,early,0.3,1.3,-4.734224319458008,3.516942262649536,75
alpha,late,1.3,2.3,-4.600420951843262,3.844658851623535,75
beta,early,0.3,1.3,-3.579996347427368,2.7437539100646973,75
beta,late,1.3,2.3,-3.475677490234375,2.0567007064819336,75
low_gamma,early,0.3,1.3,-2.9595859050750732,2.634619951248169,75
low_gamma,late,1.3,2.3,-3.029444694519043,1.8785958290100098,75
