comp,eig,r_on,r_end
0,406.49234153138264,20.13026406447173,0.8232356319471898
1,12.98531197534215,3.6029664433918205,0.5268615648655938
2,9.919647892008017,3.1714969295303446,1.2563016637624536
3,5.852018050594391,2.438273924631417,0.7114884434683355
4,3.3889164859956584,1.8409888538948322,0.24397500851165577
5,2.382783460623445,1.5479145727660506,0.6559320067066096
6,2.1308998416663156,1.4644849894157235,0.6995191015483307
7,1.750976696318838,1.3233485871689976,0.6824150229844048
