condition,P_8_12,P_45_55,RMS_0p5_80
Baseline,5.878734120823499e-12,6.754385884244542e-14,3.7234316890461615e-06
Stim-OFF raw,6.564694775594633e-07,3.3413456894843226e-07,0.005516236549019562
Stim-ON raw,1.6630456104007938e-07,1.9206301100055252e-06,0.0069920295062080315
